Generation,Average,Max
0,0.3885,5.4
1,0.29915841584158415,3.1
2,0.4854950495049505,3.6
3,0.5060938236680811,3.9
4,0.29108910891089107,2.8333333333333335
5,0.4944719471947195,4.2
6,0.673003300330033,3.7
7,0.7446864686468647,5
8,0.45075907590759073,3.8
9,0.508003300330033,3.1
10,0.4928052805280528,3.3
11,0.5736138613861386,3
12,0.5003135313531353,3.4
13,0.44745167373880246,2.7
14,0.4854196133899104,3.5
15,0.7812541254125412,3.9
16,0.5171617161716171,4
17,0.41346534653465344,3.7
18,0.3941584158415842,3.4
19,0.5760726072607261,3.4
20,0.43824257425742574,3.4
21,0.7560231023102311,3.7
22,0.5121947194719472,4.1
23,0.44033553355335536,4.1
24,0.5257425742574258,4.4
25,0.4795654565456546,3.4
26,0.6044554455445544,3.6
27,0.4340759075907591,3.3
28,0.5003575357535753,3.15
29,0.3139438943894389,3.5
30,0.4886963696369637,3.1333333333333333
31,0.6202970297029703,3.3
32,0.5463696369636963,3.6
33,0.5893564356435643,3.8
34,0.5243399339933993,3.8
35,0.7041749174917492,4
36,0.48293179317931795,4.4
37,0.5506105610561056,3.3
38,0.6798679867986799,3.7
39,0.6074257425742574,2.9
40,0.49595709570957097,2.9
41,0.5567656765676567,3.5
42,0.5154125412541254,5
43,0.43084158415841584,2.8
44,0.42572607260726075,3.15
45,0.44034653465346535,3
46,0.5765865157944365,3.4
47,0.5287128712871287,3.4
48,0.5283663366336634,4.2
49,0.46564356435643567,3.2
50,0.4795049504950495,2.6
51,0.39153229608675155,3.3
52,0.4534653465346535,2.9
53,0.5409240924092409,2.9
54,0.34443894389438945,3.1
55,0.25600660066006603,3
56,0.4106435643564356,2.05
57,0.39222772277227724,2.9
58,0.25768976897689766,3
59,0.3463696369636964,3.7
60,0.36023102310231025,3.2
61,0.35247524752475246,3.6
62,0.3087788778877888,2.8
63,0.33476269055476976,3.5
64,0.367029702970297,2.55
65,0.34213814238566714,4.2
66,0.4022937293729373,2.85
67,0.31097359735973595,2.6
68,0.4355610561056106,3.7
69,0.35635313531353136,4.5
70,0.47764026402640264,3
71,0.3678217821782178,2.5
72,0.48787728772877287,4.2
73,0.4267656765676568,3.1
74,0.48754125412541255,2.8
75,0.2911056105610561,2.85
76,0.4321617161716172,4.7
77,0.4643564356435644,4
78,0.4933498349834983,3.8
79,0.5161716171617162,3.3
80,0.39603960396039606,2.9
81,0.4383993399339934,3.7
82,0.6356789250353607,3.3
83,0.5191254125412541,3.4
84,0.4099528524281,3.3
85,0.5639438943894389,3.7
86,0.37382838283828385,4
87,0.47293729372937293,2.7
88,0.48981848184818483,3.5
89,0.3997854785478548,3.9
90,0.799021687883074,4.3
91,0.5566760961810466,3.1
92,0.4756105610561056,3.3
93,0.5001320132013202,5
94,0.40255775577557756,2.3666666666666667
95,0.433003300330033,2.8
96,0.41102074493163604,2.9
97,0.5103960396039604,3.9
98,0.44726544082979725,3
99,0.3575907590759076,3.2
100,0.4612211221122112,4
101,0.37326732673267327,3.8
102,0.2265841584158416,3
103,0.3377062706270627,2.6
104,0.5891089108910891,3.1
105,0.43982673267326733,2.5
106,0.29306930693069305,2.2
107,0.2877887788778878,3.1
108,0.5018976897689769,3.3
109,0.4358085808580858,3.3
110,0.6094059405940594,3.5
111,0.26942951438000945,2.3666666666666667
112,0.4910891089108911,3.8
113,0.41171617161716173,3.5
114,0.417953795379538,4
115,0.588998899889989,3.9
116,0.413019801980198,3.1
117,0.4282861857614333,4.4
118,0.3966171617161716,2.6
119,0.2864097123998114,2.7
120,0.1931918906176332,2.3
121,0.29114804337576616,2.6
122,0.2708745874587459,3.5
123,0.3348184818481848,3.7
124,0.47103960396039607,2.95
125,0.4161716171617162,2.7
126,0.4410891089108911,3.4
127,0.49174092409240927,4.7
128,0.2625789721829326,2.4
129,0.36485148514851484,3.6
130,0.47951438000942953,3.6
131,0.5241065535124941,3.2
132,0.3633168316831683,3.5
133,0.4296369636963696,4.7
134,0.4027887788778878,4.4
135,0.5040594059405941,3.3
136,0.3293234323432343,4.1
137,0.4805869872701556,2.4
138,0.3288590287600189,3.2
139,0.4215700141442716,4
140,0.4123173031588873,3.5
141,0.5073844884488449,3.8
142,0.5098679867986798,3.9
143,0.45762376237623764,2.8
144,0.5120792079207921,2.6
145,0.4576732673267327,3.3
146,0.49583922677982084,3.5
147,0.23696369636963696,2
148,0.5545379537953795,4.3
149,0.2851485148514851,2.5
150,0.2537788778877888,2.1
151,0.24283356907119283,2.3
152,0.350519801980198,3.7
153,0.39202970297029704,3
154,0.3271122112211221,2.8
155,0.30346534653465346,3.15
156,0.5218811881188119,2.85
157,0.33056341348420554,3.3
158,0.2411126826968411,2.3
159,0.2773927392739274,2.1
160,0.4416843470061292,3.2
161,0.2937411598302687,2.4
162,0.25478547854785477,2
163,0.3319471947194719,2.3
164,0.3036083608360836,2.7
165,0.2945308816595945,3.2
166,0.4718811881188119,3.7
167,0.455987741631306,3.2
168,0.26926567656765676,2.1
169,0.2795544554455446,2.8
170,0.4064356435643564,3.9
171,0.28539603960396037,3.9
172,0.3806105610561056,4.4
173,0.3419141914191419,2.4
174,0.4235148514851485,4.7
175,0.393036303630363,2.9
176,0.41167491749174917,3
177,0.4542197076850542,3.4
178,0.36064356435643563,2.7
179,0.4103795379537954,2.9
180,0.436980198019802,2.9
181,0.390016501650165,3.3
182,0.4940759075907591,3.2
183,0.4187128712871287,3.7
184,0.32927392739273925,3.3
185,0.5251485148514852,3.3
186,0.6636963696369637,3.8
187,0.5022442244224422,2.9
188,0.5133663366336634,3.6
189,0.4235478547854786,2.9
190,0.5950770077007701,3.4
191,0.3653052805280528,3.1
192,0.395,3.4
193,0.5525318246110326,4.3
194,0.5173927392739274,4.1
195,0.41194719471947194,3.9
196,0.6016171617161716,4.3
197,0.4248597359735974,2.7
198,0.4524398868458274,2.9
199,0.6503771805752003,3.9
