Generation,Diversity
0,0.29773153386709034
1,0.26058673651794206
2,0.26943155257171597
3,0.23976748165387757
4,0.24389036352208843
5,0.24152881220952996
6,0.22379944693628628
7,0.2239345862122338
8,0.2165635104238274
9,0.20320184851665837
10,0.2124735477895868
11,0.2014141586619433
12,0.2018814824617851
13,0.20020756603120282
14,0.210666565898911
15,0.2151061372318753
16,0.18382688682804518
17,0.18003128479641345
18,0.14780076100009404
19,0.1575087267776183
20,0.1505387463401563
21,0.16013383656046648
22,0.15842644322897306
23,0.18088982587576347
24,0.1891969496284805
25,0.20868441630252105
26,0.20137818491343862
27,0.20154665788272488
28,0.20541613592948016
29,0.20511523442576154
30,0.21349211011062597
31,0.2097411750036115
32,0.20785308969439145
33,0.20144222942201875
34,0.19324436407729723
35,0.19983513896565253
36,0.20238933747737678
37,0.19909202513051763
38,0.19640517093968116
39,0.21399755549280255
40,0.20636242129633692
41,0.2009269241035113
42,0.19397837289710573
43,0.17267159899206214
44,0.1735533065185464
45,0.20306103795347658
46,0.19467676557776017
47,0.15282613985014715
48,0.1798700061428865
49,0.1875987146022216
50,0.17641435267525946
51,0.18404663324044238
52,0.19587375959244535
53,0.20520857990910035
54,0.2037221258314737
55,0.22122219165050802
56,0.21322388844174628
57,0.21404210537684204
58,0.20247230501956012
59,0.1890254535068357
60,0.2013105976538745
61,0.1995345024638155
62,0.1696799139097226
63,0.16270633464968212
64,0.17636361457472446
65,0.16487353636138685
66,0.20093143169379743
67,0.21818129011287715
68,0.2160300406669881
69,0.1867463145231171
70,0.21126680883083457
71,0.22440777407841436
72,0.22025314282146607
73,0.21592951724923096
74,0.23088240444176655
75,0.23103974165623348
76,0.23927812421921363
77,0.23722474960615333
78,0.2354949364589511
79,0.2566793408630541
80,0.2545145087877309
81,0.26052326834631556
82,0.24164229638039125
83,0.24617157056281253
84,0.23270852685903315
85,0.22135047384449286
86,0.21937753267214447
87,0.23154224754106317
88,0.20303988104935286
89,0.20528680954194128
90,0.1914397908797575
91,0.18424160694351235
92,0.18719871979449954
93,0.19355502605733835
94,0.19472738153145325
95,0.17753966621241465
96,0.17171284516244656
97,0.1401493248139016
98,0.13591823632344782
99,0.13630386440098752
100,0.1671442743187599
101,0.16361540170037736
102,0.16994292560317614
103,0.18730112671838942
104,0.18356331407507442
105,0.1793230440843258
106,0.19203238631099148
107,0.1717035965413663
108,0.1693103792762363
109,0.16696727479997858
110,0.15386072385040334
111,0.16766578522836653
112,0.19138285971336608
113,0.18231148603101816
114,0.1811985756944307
115,0.18583212418473716
116,0.17229087116369296
117,0.1809866753231673
118,0.17634066418338085
119,0.16089780233087464
120,0.18016757663026467
121,0.17066611612106175
122,0.18516230598835332
123,0.1922849814553903
124,0.18737630318828669
125,0.1797418592850088
126,0.18646639981676433
127,0.17539275210909458
128,0.17527892035170575
129,0.17190072625390046
130,0.17692776341406374
131,0.18600075295980514
132,0.21374642631052337
133,0.23526645339255475
134,0.24677935850599578
135,0.2481531342539157
136,0.23681202814783867
137,0.24261205022556487
138,0.24105596539840163
139,0.21900425707679014
140,0.19853282212438772
141,0.20414879661443872
142,0.2137498876576172
143,0.22063443742497096
144,0.22218221129978
145,0.2172248044297473
146,0.19829558867917388
147,0.2062147849146941
148,0.2176291030158652
149,0.21837068720936964
150,0.2172020500236541
151,0.2102679559897594
152,0.20695834037609173
153,0.2039596684223452
154,0.20176579592526417
155,0.1769832801674295
156,0.16286603912074032
157,0.18824145677066742
158,0.19753409511571865
159,0.1829383142842677
160,0.1715584301638567
161,0.19494539932771365
162,0.17693550309412198
163,0.15707948132364352
164,0.15989378265047108
165,0.17022160055587315
166,0.1734123173951307
167,0.14838671530666925
168,0.15882460170847895
169,0.15707314628799623
170,0.1693683453500477
171,0.16596612593793614
172,0.1792452796197908
173,0.1789365134124412
174,0.19254470654443429
175,0.20404850497509486
176,0.19009167483881367
177,0.2084509862592157
178,0.1947974914778309
179,0.15317221868748354
180,0.15758803182405795
181,0.15250496670639438
182,0.17214804735542405
183,0.2004451650351921
184,0.2083506671660976
185,0.18749490135369007
186,0.18791913212400707
187,0.18522786127517843
188,0.17228447542328357
189,0.13916663370933532
190,0.16951633819433637
191,0.16375246715702219
192,0.17693164900654815
193,0.18701999648109574
194,0.19698069623630968
195,0.1874910335664827
196,0.1870817460403678
197,0.1900000813725762
198,0.1839237856530999
199,0.20961724425933076
